,State,District,Persons,Males,Females,Growth..1991...2001.,Persons..literate,Males..Literate,Females..Literate,Total.Educated,Primary,Middle,Matric.Higher.Secondary.Diploma,Graduate.and.Above,Total.workers
383,Orrisa,"District Dhenkanal (14), Orissa (21)",1066878,544001,522877,12.46,639363,377237,262126,639363,191465,87602,109048,31348,356513
384,Orrisa,District Nayagarh,864516,446177,418339,10.39,529840,319662,210178,529840,166957,71909,80575,22038,288053
385,Orrisa,District Khordha,1877395,986886,890509,24.79,1310867,762288,548579,1310867,337969,197922,290926,169403,575063
386,Orrisa,"District Puri (18), Orissa (21)",1502682,763389,739293,14.8,1024523,586378,438145,1024523,306686,173065,167251,58355,450540
387,Orrisa,"District Ganjam (19), Orissa (21)",3160635,1581986,1578649,16.01,1631722,1005585,626137,1631722,522328,191227,269998,76807,1305932
388,Orrisa,District Gajapati,518837,255423,263414,14.02,175850,113924,61926,175850,54959,21643,27286,6935,275534
389,Orrisa,"District Kandhamal (21), Orissa (21)",648201,322799,325402,18.6,279705,183733,95972,279705,82864,40427,37775,9581,306209
390,Orrisa,District Baudh,373372,188155,185217,17.45,180321,119757,60564,180321,55094,20616,17922,4743,170761
391,Orrisa,District Sonapur,541835,275601,266234,13.39,291931,186549,105382,291931,92739,38938,39324,9162,236980
392,Orrisa,"District Balangir (24), Orissa (21)",1337194,673985,663209,8.52,638048,413224,224824,638048,202083,80273,107242,28036,559750
393,Orrisa,District Nuapada,530690,264396,266294,13,187412,129461,57951,187412,54005,28352,27390,5644,244360
394,Orrisa,"District Kalahandi (26), Orissa (21)",1335494,667526,667968,17.99,513383,349473,163910,513383,156321,67866,75827,17904,620950
395,Orrisa,District Rayagada,831109,409792,421317,15.27,247829,162061,85768,247829,71574,30897,43441,12584,399184
396,Orrisa,District Nabarangapur,1025766,515162,510604,20.26,284538,198294,86244,284538,78755,35023,30256,6677,507395
397,Orrisa,"District Koraput (29), Orissa (21)",1180637,590743,589894,14.41,350044,231055,118989,350044,93337,43481,66172,21567,570435
398,Orrisa,District Malkangiri,504198,252507,251691,13.71,126498,83170,43328,126498,38736,18120,15959,3806,247624
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
399,Pondicherry,"District Yanam (01), Pondicherry (34)",31394,15893,15501,54.52,19898,10760,9138,19898,5933,3000,4809,1773,9909
400,Pondicherry,"District Pondicherry (02), Pondicherry (34)",735332,369428,365904,20.82,522782,287494,235288,522782,133263,106616,149493,55530,265876
401,Pondicherry,"District Mahe (03), Pondicherry (34)",36828,17153,19675,10.09,31234,14614,16620,31234,8270,6924,9215,1923,9308
402,Pondicherry,"District Karaikal (04), Pondicherry (34)",170791,84487,86304,17.11,122453,65890,56563,122453,35218,25426,32531,9138,57562
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
403,Punjab,"District Gurdaspur (01), Punjab (03)",2104011,1113077,990934,19.33,1345447,763030,582417,1345447,333312,236226,461359,69513,700557
404,Punjab,"District Amritsar (02), Punjab (03)",3096077,1650589,1445488,22.72,1793999,1024448,769551,1793999,440311,281407,588144,116805,1112200
405,Punjab,"District Kapurthala (03), Punjab (03)",754521,399623,354898,16.34,487554,273723,213831,487554,120637,86011,160506,31470,262741
406,Punjab,"District Jalandhar (04), Punjab (03)",1962700,1040177,922523,18.4,1352044,752915,599129,1352044,321830,229657,449212,123954,676835
407,Punjab,"District Hoshiarpur (05), Punjab (03)",1480736,765132,715604,13.81,1050378,573589,476789,1050378,267773,196060,347343,54347,513351
408,Punjab,"District Nawanshahr * (06), Punjab (03)",587468,306902,280566,10.43,394429,221584,172845,394429,113131,71063,117099,15552,263698
409,Punjab,"District Rupnagar (07), Punjab (03)",1116108,596582,519526,23.39,760067,434213,325854,760067,188319,127864,241745,67260,437343
410,Punjab,"District Fatehgarh Sahib * (08), Punjab (03)",538041,290137,247904,18.65,347364,197686,149678,347364,98165,63487,102297,17270,206139
411,Punjab,"District Ludhiana (09), Punjab (03)",3032831,1662716,1370115,24.79,2036278,1170514,865764,2036278,490418,345583,664797,177203,1149638
412,Punjab,"District Moga * (10), Punjab (03)",894854,474139,420715,13.93,494525,278962,215563,494525,141484,82548,137872,19640,358763
413,Punjab,"District Firozpur (11), Punjab (03)",1746107,926224,819883,20.42,903273,539345,363928,903273,249084,153723,237261,42295,648676
414,Punjab,"District Muktsar * (12), Punjab (03)",777493,411217,366276,18.68,391658,231134,160524,391658,106371,68229,103194,18336,309572
415,Punjab,"District Faridkot (13), Punjab (03)",550892,292596,258296,21.42,295618,171670,123948,295618,78777,47844,83477,18108,209754
416,Punjab,"District Bathinda (14), Punjab (03)",1183295,632809,550486,19.89,632570,372228,260342,632570,167149,101163,178842,40236,500667
417,Punjab,"District Mansa * (15), Punjab (03)",688758,366446,322312,19.83,310632,184064,126568,310632,87634,49923,74797,11881,281491
418,Punjab,"District Sangrur (16), Punjab (03)",2000173,1069289,930884,18.57,1041310,606437,434873,1041310,289589,167272,284127,51416,814098
419,Punjab,"District Patiala (17), Punjab (03)",1844934,987390,857544,20.31,1119824,646751,473073,1119824,291071,190361,320437,91461,681951
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
420,Rajasthan,"District Ganganagar (01), Rajasthan (08)",1789423,955378,834045,27.53,965445,599877,365568,965445,272986,159919,166798,46110,719792
421,Rajasthan,"District Hanumangarh * (02), Rajasthan (08)",1518005,801486,716519,24.34,795660,499697,295963,795660,218570,120271,113206,23856,628311
422,Rajasthan,"District Bikaner (03), Rajasthan (08)",1674271,886075,788196,38.18,766862,501257,265605,766862,197222,125597,131025,48265,661457
423,Rajasthan,"District Churu (04), Rajasthan (08)",1923878,987781,936097,24.6,1028880,627121,401759,1028880,233275,125205,98989,21529,853899
424,Rajasthan,"District Jhunjhunun (05), Rajasthan (08)",1913689,983526,930163,20.9,1152872,691728,461144,1152872,285006,182336,158524,35009,760910
425,Rajasthan,"District Alwar (06), Rajasthan (08)",2992592,1586752,1405840,30.23,1488281,998253,490028,1488281,397269,279773,258478,74707,1458686
426,Rajasthan,"District Bharatpur (07), Rajasthan (08)",2101142,1133425,967717,27.05,1063582,729301,334281,1063582,259166,181635,136521,37645,852913
427,Rajasthan,"District Dhaulpur (08), Rajasthan (08)",983258,538103,445155,31.13,458782,315121,143661,458782,119366,67696,46894,12585,429314
428,Rajasthan,"District Karauli * (09), Rajasthan (08)",1209665,651998,557667,29.96,608672,412709,195963,608672,149450,84870,65042,16311,483110
429,Rajasthan,"District Sawai Madhopur (10), Rajasthan (08)",1117057,591307,525750,27.44,515913,365498,150415,515913,131165,94399,79537,28351,469164
430,Rajasthan,"District Dausa * (11), Rajasthan (08)",1317063,693438,623625,32.42,650576,439937,210639,650576,157487,113274,101117,28847,542534
431,Rajasthan,"District Jaipur (12), Rajasthan (08)",5251071,2768203,2482868,35.1,3027923,1891074,1136849,3027923,691865,516810,606755,326964,1864055
432,Rajasthan,"District Sikar (13), Rajasthan (08)",2287788,1172753,1115035,24.11,1317144,801815,515329,1317144,355110,217442,192894,50901,887915
433,Rajasthan,"District Nagaur (14), Rajasthan (08)",2775058,1424967,1350091,29.33,1287921,852126,435795,1287921,340224,195832,161518,41207,1129514
434,Rajasthan,"District Jodhpur (15), Rajasthan (08)",2886505,1513890,1372615,33.77,1319879,892731,427148,1319879,333990,223180,235776,101764,1105009
435,Rajasthan,"District Jaisalmer (16), Rajasthan (08)",508247,279101,229146,47.45,201960,145203,56757,201960,46044,27054,28129,8233,211687
436,Rajasthan,"District Barmer (17), Rajasthan (08)",1964835,1038247,926588,36.83,902027,590123,311904,902027,186398,91014,70014,19718,919729
437,Rajasthan,"District Jalor (18), Rajasthan (08)",1448940,737880,711060,26.78,528975,372768,156207,528975,143657,65123,39067,11356,727209
438,Rajasthan,"District Sirohi (19), Rajasthan (08)",851107,437949,413158,30.08,367938,244514,123424,367938,92703,54237,49739,16148,343905
439,Rajasthan,"District Pali (20), Rajasthan (08)",1820251,918856,901395,22.39,806297,536694,269603,806297,243891,123555,102687,32232,724883
440,Rajasthan,"District Ajmer (21), Rajasthan (08)",2181670,1129920,1051750,26.1,1168856,742535,426321,1168856,294587,189918,222930,99061,856809
441,Rajasthan,"District Tonk (22), Rajasthan (08)",1211671,626436,585235,24.24,513474,359906,153568,513474,130861,86903,75613,25505,532682
442,Rajasthan,"District Bundi (23), Rajasthan (08)",962620,504818,457802,24.8,437773,296290,141483,437773,115674,71990,55644,17973,456937
443,Rajasthan,"District Bhilwara (24), Rajasthan (08)",2013789,1026650,987139,26.14,839353,567468,271885,839353,219767,120984,127141,49022,939848
444,Rajasthan,"District Rajsamand * (25), Rajasthan (08)",987024,493459,493565,19.88,449046,296250,152796,449046,127994,63856,57865,16145,401858
445,Rajasthan,"District Udaipur (26), Rajasthan (08)",2633312,1336004,1297308,27.37,1255399,797694,457705,1255399,293270,166985,181056,85944,1100880
446,Rajasthan,"District Dungarpur (27), Rajasthan (08)",1107643,547791,559852,26.58,425440,283512,141928,425440,118641,64365,53631,15761,531376
447,Rajasthan,"District Banswara (28), Rajasthan (08)",1501589,760686,740903,29.84,529481,362829,166652,529481,134908,79162,67938,21972,709412
448,Rajasthan,"District Chittaurgarh (29), Rajasthan (08)",1803524,918063,885461,21.46,807105,539465,267640,807105,227075,118142,106971,38274,930339
449,Rajasthan,"District Kota (30), Rajasthan (08)",1568525,827128,741397,28.52,968781,593065,375716,968781,240399,164047,194898,81681,541362
450,Rajasthan,"District Baran * (31), Rajasthan (08)",1021653,535137,486516,26.19,495121,330676,164445,495121,145677,76951,64461,18778,436375
451,Rajasthan,"District Jhalawar (32), Rajasthan (08)",1180323,612804,567519,23.34,556592,369920,186672,556592,144230,77818,60857,19959,554781
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
452,Sikkim,District North,41030,23414,17616,31.32,23572,15461,8111,23572,5582,3788,4278,602,23542
453,Sikkim,"District West (02), Sikkim (11)",123256,63912,59344,25.48,60628,35854,24774,60628,17862,8690,7112,1365,53279
454,Sikkim,"District South (03), Sikkim (11)",131525,68241,63284,33.37,74614,42895,31719,74614,20311,10169,9841,2292,69693
455,Sikkim,"District East (04), Sikkim (11)",245040,132917,112123,37.17,159521,94850,64671,159521,40720,25189,33463,10089,116529
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
456,TN,"District Thiruvallur (01), Tamil Nadu (33)",2754756,1397407,1357349,22.35,1865707,1047763,817944,1865707,471224,361514,568109,147823,1037097
457,TN,"District Chennai (02), Tamil Nadu (33)",4343645,2219539,2124106,9.76,3336695,1799981,1536714,3336695,670347,570677,1108847,540339,1488364
458,TN,"District Kancheepuram (03), Tamil Nadu (33)",2877468,1457242,1420226,18.84,1952198,1088943,863255,1952198,517245,360999,435005,119364,1144929
459,TN,"District Vellore (04), Tamil Nadu (33)",3477317,1741083,1736234,15.09,2203552,1245076,958476,2203552,719830,445813,509488,85081,1427180
460,TN,"District Dharmapuri (05), Tamil Nadu (33)",2856300,1473597,1382703,16.66,1516221,906943,609278,1516221,501096,244353,344470,61860,1413250
461,TN,"District Tiruvannamalai (06), Tamil Nadu (33)",2186125,1095859,1090266,6.8,1297151,761403,535748,1297151,377565,202301,201644,22578,1064783
462,TN,"District Viluppuram (07), Tamil Nadu (33)",2960373,1492442,1467931,6.83,1650528,977374,673154,1650528,574962,304065,327322,46718,1445177
463,TN,"District Salem (08), Tamil Nadu (33)",3016346,1563633,1452713,16.28,1734442,1021772,712670,1734442,553461,288840,420270,105892,1454645
464,TN,District Namakkal,1493462,759551,733911,13.08,903802,526412,377390,903802,280134,139098,222932,53738,842640
465,TN,"District Erode (10), Tamil Nadu (33)",2581500,1309278,1272222,10.94,1521955,887907,634048,1521955,506636,245916,336318,69460,1434405
466,TN,"District The Nilgiris (11), Tamil Nadu (33)",762141,378351,383790,7.69,541099,296573,244526,541099,146567,99968,167087,32785,343385
467,TN,"District Coimbatore (12), Tamil Nadu (33)",4271856,2176031,2095825,20.4,2945278,1648814,1296464,2945278,646369,379972,533674,118923,1977612
468,TN,"District Dindigul (13), Tamil Nadu (33)",1923014,968137,954877,8.99,1181746,681698,500048,1181746,392140,219830,235152,45680,973332
469,TN,District Karur,935686,465538,470148,9.32,566728,328103,238625,566728,183620,98317,129551,28348,496464
470,TN,"District Tiruchirappalli (15), Tamil Nadu (33)",2418366,1208534,1209832,8.76,1673478,926354,747124,1673478,465480,310766,471671,130165,1064521
471,TN,District Perambalur,493646,246141,247505,7.97,286197,167406,118791,286197,92945,51152,61172,11449,265707
472,TN,District Ariyalur,695524,346763,348761,9.06,388605,232385,156220,388605,126949,69827,83915,14700,345891
473,TN,"District Cuddalore (18), Tamil Nadu (33)",2285395,1150908,1134487,7.43,1420488,820726,599762,1420488,429640,265802,342720,66697,973066
474,TN,District Nagapattinam,1488839,739074,749765,7.95,996580,548142,448438,996580,301142,183516,182133,28731,586734
475,TN,"District Thiruvarur (20), Tamil Nadu (33)",1169474,580784,588690,5.92,788302,435421,352881,788302,257964,160095,164666,21672,491003
476,TN,"District Thanjavur (21), Tamil Nadu (33)",2216138,1096638,1119500,7.38,1476256,814354,661902,1476256,366755,239997,251526,48964,897123
477,TN,"District Pudukkottai (22), Tamil Nadu (33)",1459601,724300,735301,9.43,907376,520281,387095,907376,274368,150638,160456,23817,678289
478,TN,"District Sivaganga (23), Tamil Nadu (33)",1155356,566947,588409,4.32,738000,414755,323245,738000,234589,150263,165137,36606,513502
479,TN,"District Madurai (24), Tamil Nadu (33)",2578201,1303363,1274838,6.75,1776654,991010,785644,1776654,461505,291362,347664,82913,1088543
480,TN,District Theni,1093950,552986,540964,4.33,692797,398150,294647,692797,167050,101583,96051,16747,520280
481,TN,"District Virudhunagar (26), Tamil Nadu (33)",1751301,870376,880925,11.92,1136574,641062,495512,1136574,337849,163100,178755,33822,881803
482,TN,"District Ramanathapuram (27), Tamil Nadu (33)",1187604,583376,604228,5.73,757344,421041,336303,757344,266602,141011,147902,27178,520573
483,TN,"District Thoothukkudi (28), Tamil Nadu (33)",1572273,766823,805450,7.54,1131406,593868,537538,1131406,363353,195377,189290,44251,678811
484,TN,District Tirunelveli,2723988,1333939,1390049,11.97,1829064,997278,831786,1829064,626456,324891,314809,61913,1281117
485,TN,"District Kanniyakumari (30), Tamil Nadu (33)",1676034,832269,843765,4.34,1308322,668667,639655,1308322,338217,206633,332651,68484,548056
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
486,Tripura,District West Tripura,1532982,785579,747403,18.29,1035378,581523,453855,1035378,326328,212458,124022,61995,534348
487,Tripura,District South Tripura,767440,394605,372835,6.1,459502,267091,192411,459502,144445,86398,38584,18952,303694
488,Tripura,District Dhalai,307868,159095,148773,10.79,158397,94528,63869,158397,52169,28224,15189,4660,126761
489,Tripura,District North Tripura,590913,302946,287967,26.44,368822,207565,161257,368822,118853,61657,37898,14243,194758
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
490,UP,"District Saharanpur (01), Uttar Pradesh (09)",2896863,1553322,1343541,23.35,1444013,897576,546437,1444013,378461,244946,259613,89275,817528
491,UP,"District Muzaffarnagar (02), Uttar Pradesh (09)",3543362,1893832,1649530,24.61,1738529,1099632,638897,1738529,436539,322658,335119,99142,1173153
492,UP,"District Bijnor (03), Uttar Pradesh (09)",3131619,1651908,1479711,27.16,1461119,913906,547213,1461119,391724,281969,239162,77545,884481
493,UP,"District Moradabad (04), Uttar Pradesh (09)",3810983,2032302,1778681,26.45,1358935,893630,465305,1358935,324557,259962,242977,91876,1181996
494,UP,"District Rampur (05), Uttar Pradesh (09)",1923739,1023775,899964,27.98,591351,393597,197754,591351,142336,102778,90991,32679,544411
495,UP,"District Jyotiba Phule Nagar * (06), Uttar Pradesh (09)",1499068,795228,703840,29.72,592056,398603,193453,592056,160661,118818,97240,27853,478103
496,UP,"District Meerut (07), Uttar Pradesh (09)",2997361,1601578,1395783,24.16,1606469,992005,614464,1606469,366095,310234,387800,159151,895856
497,UP,"District Baghpat * (08), Uttar Pradesh (09)",1163991,630077,533914,13,615873,399716,216157,615873,136783,130501,159698,35506,380310
498,UP,"District Ghaziabad (09), Uttar Pradesh (09)",3290586,1769042,1521544,47.47,1899735,1168462,731273,1899735,412224,362683,485991,212861,938251
499,UP,"District Gautam Buddha Nagar * (10), Uttar Pradesh (09)",1202030,652819,549211,35.7,675669,434749,240920,675669,141557,130814,158673,84210,363814
500,UP,District Bulandshahar,2913122,1550326,1362796,22.22,1408082,936195,471887,1408082,339719,295810,289415,78539,1173805
501,UP,"District Aligarh (12), Uttar Pradesh (09)",2992286,1607402,1384884,22.08,1420604,938492,482112,1420604,320601,286958,314134,101715,916298
502,UP,"District Hathras * (13), Uttar Pradesh (09)",1336031,718930,617101,18.32,675483,445192,230291,675483,159226,137286,150874,38630,391970
503,UP,"District Mathura (14), Uttar Pradesh (09)",2074516,1127512,947004,26.95,1025566,696398,329168,1025566,236973,195806,230782,69029,770918
504,UP,"District Agra (15), Uttar Pradesh (09)",3620436,1961282,1659154,31.27,1852919,1198991,653928,1852919,422524,342632,428490,145320,984305
505,UP,"District Firozabad (16), Uttar Pradesh (09)",2052958,1108668,944290,33.44,1065525,680313,385212,1065525,265743,215628,229765,58570,558941
506,UP,"District Etah (17), Uttar Pradesh (09)",2790410,1509199,1281211,24.2,1220398,820349,400049,1220398,309113,241463,247453,60202,802418
507,UP,"District Mainpuri (18), Uttar Pradesh (09)",1596718,859934,736784,21.5,842119,536794,305325,842119,208417,197763,184805,37230,439198
508,UP,"District Budaun (19), Uttar Pradesh (09)",3069426,1666669,1402757,25.36,924643,648501,276142,924643,229555,181719,136571,39150,922100
509,UP,"District Bareilly (20), Uttar Pradesh (09)",3618589,1934119,1684470,26.96,1387124,914216,472908,1387124,318039,272576,242633,101026,1095081
510,UP,"District Pilibhit (21), Uttar Pradesh (09)",1645183,876368,768815,28.11,657860,443104,214756,657860,176658,130982,94681,25895,461339
511,UP,"District Shahjahanpur (22), Uttar Pradesh (09)",2547855,1383408,1164447,28.28,1004296,668242,336054,1004296,267891,195084,153057,40276,729525
512,UP,"District Kheri (23), Uttar Pradesh (09)",3207232,1713908,1493324,32.28,1244189,825048,419141,1244189,332730,224634,152601,48189,1008552
513,UP,"District Sitapur (24), Uttar Pradesh (09)",3619661,1941374,1678287,26.58,1404443,943222,461221,1404443,374428,264396,186665,54991,1125509
514,UP,"District Hardoi (25), Uttar Pradesh (09)",3398306,1842698,1555608,23.67,1420161,964239,455922,1420161,403917,282722,214492,53650,1097661
515,UP,"District Unnao (26), Uttar Pradesh (09)",2700324,1422509,1277815,22.72,1215090,778699,436391,1215090,331098,260419,200805,53066,926335
516,UP,"District Lucknow (27), Uttar Pradesh (09)",3647834,1932317,1715517,33.25,2129942,1250877,879065,2129942,407935,360060,538835,371574,1086400
517,UP,"District Rae Bareli (28), Uttar Pradesh (09)",2872335,1472230,1400105,23.66,1259547,810498,449049,1259547,335367,257191,227681,57701,1023506
518,UP,"District Farrukhabad (29), Uttar Pradesh (09)",1570408,849800,720608,22.8,780747,496475,284272,780747,194992,160631,159121,41417,462853
519,UP,"District Kannauj * (30), Uttar Pradesh (09)",1388923,744170,644753,19.58,698434,442446,255988,698434,175550,165586,138322,30008,457591
520,UP,"District Etawah (31), Uttar Pradesh (09)",1338871,720749,618122,21.59,766407,475991,290416,766407,191208,182517,163037,46519,368609
521,UP,"District Auraiya * (32), Uttar Pradesh (09)",1179993,635762,544231,14.7,680440,418605,261835,680440,164161,167635,145814,40118,388260
522,UP,"District Kanpur Dehat (33), Uttar Pradesh (09)",1563336,844339,718997,21.55,852350,531763,320587,852350,204604,204088,175786,35974,513211
523,UP,"District Kanpur Nagar (34), Uttar Pradesh (09)",4167999,2247216,1920783,27.17,2659833,1549505,1110328,2659833,523812,513054,722936,344813,1247833
524,UP,District Jalaun,1454452,786641,667811,27.17,782033,509536,272497,782033,198625,168398,170971,51376,522881
525,UP,"District Jhansi (36), Uttar Pradesh (09)",1744931,932818,812113,23.23,958769,617507,341262,958769,237254,202763,203745,80467,646007
526,UP,"District Lalitpur (37), Uttar Pradesh (09)",977734,519413,458321,29.98,384491,265227,119264,384491,112900,73177,46384,17649,422365
527,UP,"District Hamirpur (38), Uttar Pradesh (09)",1043724,563801,479923,17.85,490606,333921,156685,490606,132703,109254,81039,25732,408700
528,UP,"District Mahoba * (39), Uttar Pradesh (09)",708447,379691,328756,21.8,305662,209207,96455,305662,85608,62340,44785,15048,299772
529,UP,"District Banda (40), Uttar Pradesh (09)",1537334,826544,710790,18.49,670986,462956,208030,670986,177757,128951,106364,39166,619361
530,UP,"District Chitrakoot * (41), Uttar Pradesh (09)",766225,409178,357047,34.33,392997,252633,140364,392997,88144,54894,52070,15028,323956
531,UP,"District Fatehpur (42), Uttar Pradesh (09)",2308384,1219602,1088782,21.4,1062431,690826,371605,1062431,283399,212399,195708,49519,869612
532,UP,"District Pratapgarh (43), Uttar Pradesh (09)",2731174,1362948,1368226,23.36,1278271,812741,465530,1278271,337855,243357,258383,60953,915786
533,UP,"District Kaushambi * (44), Uttar Pradesh (09)",1293154,682290,610864,26.73,481756,338208,143548,481756,120937,81498,95162,16038,506733
534,UP,District Allahabad,4936105,2626448,2309657,26.72,2506942,1635387,871555,2506942,542568,404832,616060,254138,1671349
535,UP,"District Barabanki (46), Uttar Pradesh (09)",2673581,1416921,1256660,26.4,1023004,677728,345276,1023004,276581,197416,166060,40792,983751
536,UP,"District Faizabad (47), Uttar Pradesh (09)",2088928,1077472,1011456,23.87,960361,611451,348910,960361,258162,182226,186048,61532,823717
537,UP,"District Ambedkar Nagar * (48), Uttar Pradesh (09)",2026876,1024953,1001923,24.31,954537,587052,367485,954537,263863,182351,166943,54150,677980
538,UP,"District Sultanpur (49), Uttar Pradesh (09)",3214832,1623819,1591013,24.2,1448422,920508,527914,1448422,401426,291887,239948,72064,1032520
539,UP,"District Bahraich (50), Uttar Pradesh (09)",2381072,1275351,1105721,29.55,665826,468536,197290,665826,180251,98848,94105,30157,844320
540,UP,"District Shrawasti * (51), Uttar Pradesh (09)",1176391,631916,544475,27.3,318353,238366,79987,318353,85177,53384,44076,10077,486475
541,UP,"District Balrampur * (52), Uttar Pradesh (09)",1682350,887939,794411,23.08,464587,327694,136893,464587,130160,68865,63201,18324,714059
542,UP,"District Gonda (53), Uttar Pradesh (09)",2765586,1451101,1314485,25.46,949342,663292,286050,949342,263721,164966,160639,42611,939094
543,UP,"District Siddharthnagar (54), Uttar Pradesh (09)",2040085,1047165,992920,26.78,678900,467825,211075,678900,195334,96690,96297,22990,776487
544,UP,"District Basti (55), Uttar Pradesh (09)",2084814,1075765,1009049,22.69,880827,580987,299840,880827,227708,158454,165101,44900,735176
545,UP,"District Sant Kabir Nagar * (56), Uttar Pradesh (09)",1420226,719465,700761,23.64,573384,378320,195064,573384,166682,96863,91256,20153,489070
546,UP,"District Mahrajganj (57), Uttar Pradesh (09)",2173878,1124290,1049588,29.27,799890,569243,230647,799890,208643,130154,127993,29119,850513
547,UP,"District Gorakhpur (58), Uttar Pradesh (09)",3769456,1923197,1846259,23.44,1798769,1150850,647919,1798769,417463,344819,403787,142000,1136295
548,UP,"District Kushinagar * (59), Uttar Pradesh (09)",2893196,1473637,1419559,28.17,1082779,746953,335826,1082779,277443,193620,213155,51110,990123
549,UP,"District Deoria (60), Uttar Pradesh (09)",2712650,1355023,1357627,25.03,1288320,817900,470420,1288320,293746,241401,313605,73776,773902
550,UP,"District Azamgarh (61), Uttar Pradesh (09)",3939916,1950415,1989501,26.28,1790357,1095253,695104,1790357,488064,301696,335005,88331,1199842
551,UP,"District Mau (62), Uttar Pradesh (09)",1853997,933523,920474,27.91,919974,560466,359508,919974,230309,151200,209941,51432,599400
552,UP,"District Ballia (63), Uttar Pradesh (09)",2761620,1413774,1347846,21.67,1298700,825256,473444,1298700,290499,242750,356292,79805,794435
553,UP,"District Jaunpur (64), Uttar Pradesh (09)",3911679,1941903,1969776,21.67,1871674,1170022,701652,1871674,474457,320040,353792,102382,1215515
554,UP,"District Ghazipur (65), Uttar Pradesh (09)",3037582,1537141,1500441,26.18,1444871,914230,530641,1444871,339108,271095,343199,83003,953512
555,UP,"District Chandauli * (66), Uttar Pradesh (09)",1643251,855123,788128,28.63,785284,507557,277727,785284,183781,152196,190941,48931,527633
556,UP,"District Varanasi (67), Uttar Pradesh (09)",3138671,1649187,1489484,25.51,1694405,1050613,643792,1694405,383652,276666,402220,167979,982054
557,UP,"District Sant Ravidas Nagar Bhadohi * (68), Uttar Pradesh (09)",1353705,705997,647708,25.47,625404,426692,198712,625404,167649,106412,125670,31499,388634
558,UP,"District Mirzapur (69), Uttar Pradesh (09)",2116042,1115249,1000793,27.62,935101,622631,312470,935101,238563,165779,192266,55604,714739
559,UP,"District Sonbhadra (70), Uttar Pradesh (09)",1463519,770897,692622,36.13,571318,387808,183510,571318,149164,96190,110600,37862,537935
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
560,Uttranchal,"District Uttarkashi (01), Uttaranchal (05)",295013,152016,142997,22.72,161161,105663,55498,161161,40229,33196,30629,12283,135904
561,Uttranchal,"District Chamoli (02), Uttaranchal (05)",370359,183745,186614,13.51,237354,138934,98420,237354,66405,49191,45880,16250,164729
562,Uttranchal,"District Rudraprayag * (03), Uttaranchal (05)",227439,107535,119904,13.44,141078,80080,60998,141078,39973,31298,25639,8386,102033
563,Uttranchal,"District Tehri Garhwal (04), Uttaranchal (05)",604747,295168,309579,16.15,337816,208251,129565,337816,86609,65227,71619,23069,264715
564,Uttranchal,"District Dehradun (05), Uttaranchal (05)",1282143,679583,602560,24.71,876441,505379,371062,876441,177169,149514,241917,137075,400475
565,Uttranchal,"District Garhwal (06), Uttaranchal (05)",697078,331061,366017,3.87,461675,253270,208405,461675,117782,96994,112562,35643,269871
566,Uttranchal,"District Pithoragarh (07), Uttaranchal (05)",462289,227615,234674,10.92,296362,170872,125490,296362,82525,65813,58872,17190,198709
567,Uttranchal,"District Bageshwar (08), Uttaranchal (05)",249462,118510,130952,17.56,148464,85160,63304,148464,43314,33283,25892,5029,118844
568,Uttranchal,"District Almora (09), Uttaranchal (05)",630567,293848,336719,3.14,392640,217169,175471,392640,112370,85177,75309,21832,292182
569,Uttranchal,"District Champawat (10), Uttaranchal (05)",224542,111084,113458,9.21,129947,78925,51022,129947,39247,25803,21073,6311,90208
570,Uttranchal,"District Nainital (11), Uttaranchal (05)",762909,400254,362655,32.88,508731,294161,214570,508731,123772,93046,121368,57934,278947
571,Uttranchal,"District Udham Singh Nagar * (12), Uttaranchal (05)",1235614,649484,586130,27.79,659165,402308,256857,659165,168433,116119,130102,49692,392156
572,Uttranchal,"District Hardwar (13), Uttaranchal (05)",1447187,776021,671166,26.3,754948,468703,286245,754948,177673,133232,163777,69461,425263
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
573,WB,District Darjiling,1609172,830644,778528,23.54,1008288,581420,426868,1008288,238539,184564,192799,71644,569442
574,WB,District Jalpaiguri,3401173,1751145,1650028,21.52,1810083,1082575,727508,1810083,450354,294751,230179,70820,1303136
575,WB,District Koch Bihar,2479155,1272094,1207061,14.15,1386965,816196,570769,1386965,365660,210694,153907,40012,966705
576,WB,"District Uttar Dinajpur (04), West Bengal (19)",2441794,1259737,1182057,28.72,923477,583960,339517,923477,195557,147724,107439,29145,935524
577,WB,"District Dakshin Dinajpur * (05), West Bengal (19)",1503178,770335,732843,22.11,799479,467296,332183,799479,182219,130432,93373,27518,612728
578,WB,District Maldah,3290468,1689406,1601062,24.77,1332704,801770,530934,1332704,313521,203944,159619,44408,1340706
579,WB,District Murshidabad,5866569,3005000,2861569,23.7,2620538,1502724,1117814,2620538,681327,384598,308022,91654,2005174
