,State,District,Persons,Males,Females,Growth..1991...2001.,Persons..literate,Males..Literate,Females..Literate,Total.Educated,Primary,Middle,Matric.Higher.Secondary.Diploma,Graduate.and.Above,Total.workers
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
117,Delhi,District North West,2860869,1571689,1289180,60.12,1957902,1161047,796855,1957902,414858,309552,550540,329431,919439
118,Delhi,District North,781525,427882,353643,13.3,540192,314103,226089,540192,116492,90266,155998,87355,256596
119,Delhi,District North East,1768061,956078,811983,62.52,1141035,676627,464408,1141035,270927,211702,300605,121084,500425
120,Delhi,District East,1463583,794074,669509,41.61,1068139,613061,455078,1068139,199177,157781,310647,238014,475310
121,Delhi,"District New Delhi (05), Delhi (07)",179112,99956,79156,2.47,131196,78540,52656,131196,24105,21377,36440,30013,67594
122,Delhi,District Central,646385,350831,295554,-1.91,450989,255253,195736,450989,101683,75263,119540,79593,223851
123,Delhi,District West,2128908,1163084,965824,47.81,1533738,884861,648877,1533738,289230,222665,463594,323357,720915
124,Delhi,District South West,1755041,983615,771426,61.29,1258033,761917,496116,1258033,237497,201038,396897,227609,602546
125,Delhi,District South,2267023,1260025,1006998,50.27,1583540,955438,628102,1583540,313497,242046,436353,325459,778558
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
126,D_N_H,"District Dadra & Nagar Haveli (01), Dadra & Nagar Haveli (26)",220490,121666,98824,59.2,103904,72149,31755,103904,25077,15408,28169,7896,114122
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
127,Goa,District North Goa,758573,388502,370071,13.93,566668,312590,254078,566668,110017,93191,183788,56876,307628
128,Goa,"District South Goa (02), Goa (30)",589095,298746,290349,16.16,418894,228442,190452,418894,83652,66067,143627,41421,215227
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
129,Gujarat,"District Kachchh (01), Gujarat (24)",1583225,815152,768073,20.9,794483,480555,313928,794483,250155,104847,140506,32699,605599
130,Gujarat,"District Banas Kantha (02), Gujarat (24)",2504244,1297404,1206840,26.31,1037619,699080,338539,1037619,308578,112479,153151,24897,1092201
131,Gujarat,District Patan,1182709,612100,570609,14.08,599082,375588,223494,599082,165823,69614,121119,21088,533078
132,Gujarat,"District Mahesana (04), Gujarat (24)",1837892,953842,884050,12.04,1188224,698626,489598,1188224,306412,160453,309309,56891,828519
133,Gujarat,"District Sabar Kantha (05), Gujarat (24)",2082531,1069554,1012977,18.3,1171555,721203,450352,1171555,296151,176084,332201,53757,940437
134,Gujarat,"District Gandhinagar (06), Gujarat (24)",1334455,697999,636456,23.88,879834,522575,357259,879834,214072,136174,231335,71259,554336
135,Gujarat,"District Ahmadabad (07), Gujarat (24)",5816519,3074556,2741963,26.61,4012140,2318295,1693845,4012140,963479,602259,1113922,479990,2009365
136,Gujarat,"District Surendranagar (08), Gujarat (24)",1515148,787650,727498,25.34,781155,487094,294061,781155,231369,119782,132242,29293,647609
137,Gujarat,"District Rajkot (09), Gujarat (24)",3169881,1642018,1527863,25.6,2033946,1166122,867824,2033946,561231,341580,492263,129543,1244806
