District code,State name,District name,Population,Male,Female,Literate,Male_Literate,Female_Literate,Workers,Male_Workers,Female_Workers,Below_Primary_Education,Primary_Education,Middle_Education,Secondary_Education,Higher_Education,Graduate_Education,Age_Group_0_29,Age_Group_30_49,Age_Group_50
65,UTTARAKHAND,Champawat,259648,131125,128523,177726,102015,75711,99566,60427,39139,36127,48093,45766,23610,18360,15110,156916,60722,41913
66,UTTARAKHAND,Nainital,954605,493666,460939,696500,385779,310721,376181,256935,119246,90915,155681,157875,115317,98851,89101,562548,243095,147053
67,UTTARAKHAND,Udham Singh Nagar,1648902,858783,790119,1037839,598525,439314,591458,444578,146880,179602,302653,232381,169274,113661,111062,1042614,392370,212223
68,UTTARAKHAND,Hardwar,1890422,1005295,885127,1178354,691411,486943,578121,497810,80311,245515,336790,243719,165003,114114,134182,1207120,435385,246229
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
69,HARYANA,Panchkula,561293,299679,261614,405318,229862,175456,211479,164865,46614,45607,73584,60177,69163,48306,83256,309078,157076,93606
70,HARYANA,Ambala,1128350,598703,529647,818025,461288,356737,372139,320120,52019,89558,170110,161844,163544,97980,91472,617859,308126,201685
71,HARYANA,Yamunanagar,1214205,646718,567487,832457,474793,357664,389233,342343,46890,107222,194654,164652,159311,99170,82532,694813,317708,201386
72,HARYANA,Kurukshetra,964655,510976,453679,646893,370828,276065,336780,268556,68224,94530,145392,118107,120790,81964,71007,552034,250830,160216
73,HARYANA,Kaithal,1074304,571003,503301,646529,385782,260747,373899,292696,81203,119345,158239,124682,117753,82297,51043,630194,265813,176320
74,HARYANA,Karnal,1505324,797712,707612,978013,564516,413497,516062,411646,104416,155839,231354,188040,183590,124790,101387,884972,380409,234684
75,HARYANA,Panipat,1205437,646857,558580,786599,464136,322463,412318,328667,83651,118873,170565,143466,141473,91756,75774,739075,298764,167244
76,HARYANA,Sonipat,1450001,781299,668702,998316,589881,408435,523179,391085,132094,138489,200458,182396,224639,150760,101186,855201,360216,233318
77,HARYANA,Jind,1334152,713006,621146,832758,502049,330709,523422,368277,155145,136892,185626,151682,154773,107994,64599,784085,335704,213478
78,HARYANA,Fatehabad,942011,495360,446651,557578,327471,230107,369083,263498,105585,103541,136663,99948,93526,61476,37741,555745,237009,147469
79,HARYANA,Sirsa,1295189,682582,612607,782897,456968,325929,502003,369462,132541,141766,201349,153263,134559,83373,61620,750228,334344,208185
80,HARYANA,Hisar,1743931,931562,812369,1114311,670200,444111,691621,488321,203300,197303,230074,194595,202792,144626,105346,1017830,456536,265109
81,HARYANA,Bhiwani,1634445,866672,767773,1069871,643158,426713,623006,430678,192328,186145,223049,198307,218631,148995,104875,964960,405760,261428
82,HARYANA,Rohtak,1061204,568479,492725,747582,436025,311557,345967,272646,73321,117097,150903,140782,168499,109596,100346,605741,269354,185685
83,HARYANA,Jhajjar,958405,514667,443738,676091,399480,276611,326534,250020,76514,90737,109829,115794,145258,97457,58826,549975,245095,162356
84,HARYANA,Mahendragarh,922088,486665,435423,630255,380440,249815,338584,232935,105649,94273,135849,126291,132765,94245,60296,530000,229392,161258
85,HARYANA,Rewari,900332,474335,425997,636947,375453,261494,337727,235326,102401,81280,120860,122617,139646,95807,65143,518747,230704,150557
86,HARYANA,Gurgaon,1514432,816690,697742,1111116,638666,472450,544716,432456,112260,126920,177453,175370,219200,150120,233402,875531,428101,210307
87,HARYANA,Mewat,1089263,571162,518101,454897,308435,146462,289964,224642,65322,125261,135842,67299,41836,22265,12453,790930,186916,110688
88,HARYANA,Faridabad,1809733,966110,843623,1272739,734940,537799,579229,476933,102296,137902,220384,198551,282666,178846,259933,1095602,481318,231029
89,HARYANA,Palwal,1042708,554497,488211,599796,379696,220100,309563,241464,68099,125474,142156,113940,102626,65963,43780,684189,224043,133913
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
90,NCT OF DELHI,North West,3656539,1960922,1695617,2707855,1541952,1165903,1188545,1022419,166126,228507,571255,607092,613393,519808,465677,2138591,1013424,503055
91,NCT OF DELHI,North,887978,475002,412976,681517,381615,299902,296446,257575,38871,58952,133915,142788,126121,97744,107099,506601,256501,124513
92,NCT OF DELHI,North East,2241624,1188425,1053199,1611588,912481,699107,661386,594353,67033,206524,500493,488767,341540,212438,122983,1393078,581016,264663
93,NCT OF DELHI,East,1709346,907500,801846,1352998,748382,604616,579692,486951,92741,86484,219061,260094,267825,235187,246988,948963,497157,262124
94,NCT OF DELHI,New Delhi,142004,77942,64062,114179,65678,48501,59541,46940,12601,4641,11728,15326,15942,17742,23934,76076,43913,21773
95,NCT OF DELHI,Central,582320,307821,274499,442360,240518,201842,207374,177621,29753,34122,80924,96755,83244,62124,80251,317650,169533,94448
96,NCT OF DELHI,West,2543243,1356240,1187003,1961179,1093933,867246,874320,732598,141722,157606,318376,365913,369114,327114,440295,1399165,732515,408953
97,NCT OF DELHI,South West,2292958,1246046,1046912,1787689,1025261,762428,795352,667977,127375,152945,255177,313817,335645,308513,400800,1296955,683209,308675
98,NCT OF DELHI,South,2731929,1467428,1264501,2078402,1185036,893366,924393,775592,148801,191659,368772,400595,430091,354078,458858,1588001,785085,355602
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
99,RAJASTHAN,Ganganagar,1969168,1043340,925828,1193343,710908,482435,912672,596320,316352,237042,314107,238397,163098,105734,104071,1167889,502211,283484
100,RAJASTHAN,Hanumangarh,1774692,931184,843508,1034136,624281,409855,835260,512802,322458,239601,273441,219194,153628,104087,84185,1058044,453114,242361
101,RAJASTHAN,Bikaner,2363937,1240801,1123136,1278801,782399,496402,986208,640572,345636,410155,333211,254335,143669,80296,101714,1543867,517271,288165
102,RAJASTHAN,Churu,2039547,1051446,988101,1149269,696729,452540,902829,541404,361425,336671,302022,237220,161520,100677,77282,1293193,458725,272176
103,RAJASTHAN,Jhunjhunun,2137045,1095896,1041149,1370360,815834,554526,894649,541392,353257,296093,305626,301866,256621,192240,158936,1298780,494124,330126
104,RAJASTHAN,Alwar,3674179,1939026,1735153,2182476,1359829,822647,1708542,994171,714371,492781,492981,468628,324050,230415,222622,2346721,836000,490137
105,RAJASTHAN,Bharatpur,2548462,1355726,1192736,1480869,943910,536959,1071154,647198,423956,363676,330336,314953,211938,147520,132571,1659515,546362,329127
106,RAJASTHAN,Dhaulpur,1206516,653647,552869,683098,435721,247377,523212,339110,184102,207566,172914,132964,77360,45590,37856,815651,248416,141365
107,RAJASTHAN,Karauli,1458248,783639,674609,805849,531904,273945,628726,371058,257668,220644,193938,170399,104208,69443,67639,947173,310688,192042
108,RAJASTHAN,Sawai Madhopur,1335551,704031,631520,741748,486184,255564,578068,343802,234266,205450,172925,151108,87349,57625,70870,841697,309237,183234
109,RAJASTHAN,Dausa,1634409,857787,776622,938051,596935,341116,684495,398151,286344,229035,235474,208537,135234,92559,90833,1047136,358718,210117
110,RAJASTHAN,Jaipur,6626178,3468507,3157671,4300965,2554793,1746172,2464893,1714947,749946,819004,875940,823570,659389,455527,703673,4091148,1646480,884057
111,RAJASTHAN,Sikar,2677333,1374990,1302343,1652117,995275,656842,1006504,657854,348650,369959,438872,367412,282595,200430,181282,1672813,605002,381226
112,RAJASTHAN,Nagaur,3307743,1696325,1611418,1758624,1102750,655874,1425882,857031,568851,513871,486057,388822,242053,147701,117444,2088323,754143,463469
113,RAJASTHAN,Jodhpur,3687165,1923928,1763237,2031532,1265753,765779,1489741,965103,524638,497762,512035,405132,259304,154789,177199,2359786,836322,489280
114,RAJASTHAN,Jaisalmer,669919,361708,308211,308653,210415,98238,288903,182565,106338,109484,71132,41264,20142,12759,10604,448969,140294,79977
115,RAJASTHAN,Barmer,2603751,1369022,1234729,1188322,783461,404861,1202482,696240,506242,406804,352636,219932,101291,52272,39533,1731122,527629,326476
116,RAJASTHAN,Jalor,1828730,936634,892096,829582,543923,285659,896644,494906,401738,270997,277152,181691,75304,32366,25210,1176496,390598,249379
117,RAJASTHAN,Sirohi,1036346,534231,502115,476806,309900,166906,419829,272196,147633,117971,147381,110385,58213,30724,27076,649290,244401,142251
118,RAJASTHAN,Pali,2037573,1025422,1012151,1085693,667381,418312,842327,523077,319250,293818,359329,271312,144581,71472,67021,1207983,467436,343384
119,RAJASTHAN,Ajmer,2583052,1324085,1258967,1526673,926268,600405,1053722,686149,367573,379043,394576,313680,200191,130608,172683,1561077,629951,388040
120,RAJASTHAN,Tonk,1421326,728136,693190,749659,478329,271330,649161,371848,277313,237191,190750,154825,91853,64431,67155,880194,334006,205593
121,RAJASTHAN,Bundi,1110906,577160,533746,585044,371705,213339,526091,314806,211285,153500,159218,121104,63248,41227,41052,686771,267648,155958
122,RAJASTHAN,Bhilwara,2408523,1220736,1187787,1256126,777582,478544,1148165,674589,473576,398993,338296,258990,141250,92785,106667,1439454,589476,365023
123,RAJASTHAN,Rajsamand,1156597,581339,575258,619139,383334,235805,550831,319534,231297,190090,190388,140839,72969,41063,34286,687165,275099,193668
124,RAJASTHAN,Dungarpur,1388552,696532,692020,681591,415820,265771,641515,346624,294891,238847,175059,114245,60656,42887,39312,868458,317700,191917
125,RAJASTHAN,Banswara,1797485,907754,889731,829343,513854,315489,916574,482236,434338,240067,190259,137780,75011,50438,47094,1153029,406214,216554
126,RAJASTHAN,Chittaurgarh,1544338,783171,761167,821825,514851,306974,802755,456632,346123,245603,225700,170455,90889,58129,67155,880043,398303,258997
127,RAJASTHAN,Kota,1951014,1021161,929853,1298345,765396,532949,748811,534650,214161,286676,294591,250092,172538,118710,167778,1177474,495896,275396
128,RAJASTHAN,Baran,1222755,633945,588810,693307,432607,260700,552583,329754,222829,203489,194024,144190,76209,46847,49939,762204,286344,173100
129,RAJASTHAN,Jhalawar,1411129,725143,685986,739792,466815,272977,685950,402825,283125,226614,203488,143108,73388,46267,47985,850546,346110,213674
130,RAJASTHAN,Udaipur,3068420,1566801,1501619,1582629,973444,609185,1365783,835839,529944,442946,386075,277392,164290,102085,142672,1876436,739287,451034
131,RAJASTHAN,Pratapgarh,867848,437744,430104,401515,250122,151393,481294,251691,229603,142397,111276,70969,35206,21854,19109,545987,204801,115608
,,,,,,,,,,,,,,,,,,,,
